GeneID	Chr	Start	End	Strand	Length
ENSG00000224137.1	chr2	207662375	207667024	+	4650
ENSG00000199251.1	chr2	207680533	207680639	-	107
ENSG00000213082.3	chr2	207681590	207682033	+	444
ENSG00000200764.1	chr2	207687960	207688059	+	100
ENSG00000163249.11	chr2	207711540	207761839	+	50300
ENSG00000272851.1	chr2	207753872	207754435	-	564
ENSG00000284079.1	chr2	207754807	207754881	+	75
ENSG00000163251.3	chr2	207762586	207769563	-	6978
ENSG00000178385.14	chr2	207821288	208025560	-	204273
ENSG00000225111.1	chr2	207868582	207869915	-	1334
ENSG00000212246.1	chr2	208019638	208019741	-	104
ENSG00000185078.3	chr2	208031383	208031953	-	571
ENSG00000251941.1	chr2	208054161	208054258	-	98
ENSG00000224839.1	chr2	208057248	208057745	-	498
ENSG00000229150.1	chr2	208108233	208112511	-	4279
ENSG00000118231.4	chr2	208121607	208124501	-	2895
ENSG00000163254.4	chr2	208128137	208129830	-	1694
ENSG00000224529.1	chr2	208135394	208137697	-	2304
ENSG00000182187.3	chr2	208142573	208146168	-	3596
ENSG00000168582.4	chr2	208160740	208163576	-	2837
ENSG00000188674.10	chr2	208165343	208190073	-	24731
ENSG00000233869.1	chr2	208208135	208208984	+	850
ENSG00000228111.1	chr2	208214724	208222625	-	7902
ENSG00000138413.13	chr2	208236227	208266074	-	29848
ENSG00000231908.1	chr2	208255247	208256181	+	935
ENSG00000115020.16	chr2	208266267	208358751	+	92485
ENSG00000228380.1	chr2	208269343	208269957	-	615
ENSG00000144407.9	chr2	208359714	208854503	+	494790
ENSG00000213081.3	chr2	208360631	208361369	-	739
ENSG00000227430.1	chr2	208466238	208466626	-	389
ENSG00000231896.1	chr2	208469850	208540413	+	70564
ENSG00000232409.1	chr2	208516908	208517230	+	323
ENSG00000202164.1	chr2	208920547	208920664	-	118
ENSG00000235864.1	chr2	209072597	209074148	-	1552
ENSG00000232799.1	chr2	209145241	209147687	+	2447
ENSG00000240286.1	chr2	209178804	209182018	+	3215
ENSG00000229670.2	chr2	209178966	209181123	+	2158
ENSG00000078018.19	chr2	209424058	209734118	+	310061
ENSG00000222317.1	chr2	209721913	209722021	-	109
ENSG00000144406.18	chr2	209771993	209999300	+	227308
ENSG00000237194.1	chr2	209808804	209809580	+	777
ENSG00000197713.14	chr2	210002565	210022259	+	19695
ENSG00000144445.16	chr2	210021423	210171383	-	149961
ENSG00000272807.1	chr2	210028417	210029156	+	740
ENSG00000229127.1	chr2	210030733	210064356	+	33624
ENSG00000231063.1	chr2	210088226	210089064	+	839
ENSG00000279317.2	chr2	210171518	210233976	+	62459
ENSG00000115361.7	chr2	210187939	210225491	-	37553
ENSG00000199203.1	chr2	210265963	210266074	+	112
ENSG00000168530.15	chr2	210290150	210315190	-	25041
ENSG00000234281.5	chr2	210324759	210469246	+	144488
ENSG00000115365.11	chr2	210431249	210477652	-	46404
ENSG00000021826.15	chr2	210477682	210679107	+	201426
ENSG00000280837.1	chr2	210617571	210619876	+	2306
ENSG00000271074.1	chr2	211104934	211105732	+	799
ENSG00000231017.1	chr2	211298941	211299189	-	249
ENSG00000178568.14	chr2	211375717	212538841	-	1163125
ENSG00000199585.1	chr2	211535653	211535769	+	117
ENSG00000232631.1	chr2	211777206	211777856	+	651
ENSG00000236007.1	chr2	211778273	211779763	+	1491
ENSG00000221782.1	chr2	212426263	212426360	-	98
ENSG00000273118.1	chr2	212581357	213021545	-	440189
ENSG00000234308.2	chr2	212795331	212819264	+	23934
ENSG00000231254.2	chr2	212832161	212832945	+	785
ENSG00000223373.1	chr2	212911003	212919809	+	8807
ENSG00000283637.1	chr2	212926257	212926336	-	80
ENSG00000266354.1	chr2	212926257	212926336	+	80
ENSG00000030419.16	chr2	212999691	213152427	-	152737
ENSG00000270659.1	chr2	213152970	213153659	+	690
ENSG00000236193.3	chr2	213155806	213167712	-	11907
ENSG00000272519.1	chr2	213266995	213276152	-	9158
ENSG00000196096.3	chr2	213276552	213284205	-	7654
ENSG00000144451.18	chr2	213284379	214410501	+	1126123
ENSG00000265734.1	chr2	213758067	213758159	+	93
ENSG00000197585.9	chr2	214250040	214684246	-	434207
ENSG00000213917.2	chr2	214280638	214281452	-	815
ENSG00000174453.9	chr2	214411065	214578959	+	167895
ENSG00000224257.1	chr2	214510196	214536890	+	26695
ENSG00000177261.8	chr2	214697727	214698059	+	333
ENSG00000138376.10	chr2	214725646	214809711	-	84066
ENSG00000229267.2	chr2	214810229	214963274	+	153046
ENSG00000207274.1	chr2	214846947	214847081	+	135
ENSG00000230076.1	chr2	214847128	214847445	+	318
ENSG00000144452.14	chr2	214931542	215138428	-	206887
ENSG00000227769.7	chr2	215004782	215085488	+	80707
ENSG00000237571.1	chr2	215274992	215277947	+	2956
ENSG00000138363.14	chr2	215311817	215349773	+	37957
ENSG00000115414.18	chr2	215360440	215436172	-	75733
ENSG00000230695.1	chr2	215436253	215436992	+	740
ENSG00000225166.1	chr2	215453707	215463871	+	10165
ENSG00000228618.1	chr2	215476667	215480248	+	3582
ENSG00000234938.2	chr2	215530447	215545526	-	15080
ENSG00000237525.6	chr2	215533133	215713895	+	180763
ENSG00000227981.2	chr2	215579407	215582635	-	3229
ENSG00000235770.5	chr2	215611563	215843722	-	232160
ENSG00000230838.1	chr2	215718043	215719424	+	1382
ENSG00000216721.3	chr2	215804731	215804981	-	251
ENSG00000227824.1	chr2	215869923	215870518	+	596
ENSG00000226276.1	chr2	215939308	215941719	-	2412
ENSG00000118242.15	chr2	215942805	216034096	-	91292
ENSG00000115425.13	chr2	215996329	216082955	-	86627
ENSG00000163449.10	chr2	216081866	216102783	+	20918
ENSG00000079246.15	chr2	216107464	216206303	+	98840
ENSG00000232970.1	chr2	216156342	216156811	-	470
ENSG00000236478.2	chr2	216174896	216176032	-	1137
ENSG00000279348.1	chr2	216211404	216213519	+	2116
ENSG00000260804.3	chr2	216217045	216220192	+	3148
ENSG00000144583.4	chr2	216257865	216372027	-	114163
ENSG00000231092.1	chr2	216259595	216266130	+	6536
ENSG00000233581.1	chr2	216303325	216321737	+	18413
ENSG00000207303.1	chr2	216351403	216351504	+	102
ENSG00000235042.1	chr2	216385288	216412696	-	27409
ENSG00000138375.12	chr2	216412414	216483053	+	70640
ENSG00000232485.2	chr2	216479030	216498761	-	19732
ENSG00000241520.1	chr2	216483032	216487196	-	4165
ENSG00000197756.9	chr2	216498189	216579180	+	80992
ENSG00000224391.1	chr2	216590426	216606938	-	16513
ENSG00000225794.1	chr2	216604771	216611202	+	6432
ENSG00000235444.2	chr2	216610342	216610959	-	618
ENSG00000115457.9	chr2	216632828	216664436	+	31609
ENSG00000115461.4	chr2	216672105	216695525	-	23421
ENSG00000236886.2	chr2	216694464	216994079	+	299616
ENSG00000237930.1	chr2	216785774	216786144	-	371
ENSG00000222832.1	chr2	216793489	216793600	-	112
ENSG00000229352.1	chr2	216799608	216805335	+	5728
ENSG00000234588.1	chr2	216805737	216806129	-	393
ENSG00000231597.1	chr2	216854389	216855132	-	744
ENSG00000118245.2	chr2	216859458	216860064	-	607
ENSG00000237479.1	chr2	216866332	216867813	-	1482
ENSG00000227021.1	chr2	216868012	216869156	+	1145
ENSG00000236295.1	chr2	216870441	216873932	-	3492
ENSG00000223874.1	chr2	216870772	216871639	+	868
ENSG00000259855.1	chr2	216995906	216996490	+	585
ENSG00000251982.1	chr2	217251556	217251875	+	320
ENSG00000233143.1	chr2	217282739	217336120	+	53382
ENSG00000278004.1	chr2	217283370	217283523	+	154
ENSG00000231672.6	chr2	217284019	217756593	-	472575
ENSG00000224414.1	chr2	217693895	217696763	+	2869
ENSG00000231035.1	chr2	217760547	217761291	-	745
ENSG00000079308.17	chr2	217799588	218010421	-	210834
ENSG00000275458.1	chr2	217900513	217900628	-	116
ENSG00000223923.1	chr2	217978707	217992615	+	13909
ENSG00000188282.12	chr2	218034960	218090581	+	55622
ENSG00000229754.1	chr2	218059155	218065729	-	6575
ENSG00000180871.7	chr2	218125289	218137253	+	11965
ENSG00000163464.7	chr2	218162845	218166995	-	4151
ENSG00000224159.1	chr2	218200434	218201388	+	955
ENSG00000163466.15	chr2	218217094	218254356	+	37263
ENSG00000261338.2	chr2	218255319	218257366	+	2048
ENSG00000179921.14	chr2	218259496	218263859	+	4364
ENSG00000127837.9	chr2	218264123	218270257	-	6135
ENSG00000127838.13	chr2	218270392	218346793	+	76402
ENSG00000135926.14	chr2	218274192	218292586	-	18395
ENSG00000284173.1	chr2	218280125	218280188	-	64
ENSG00000237281.1	chr2	218326889	218357966	-	31078
ENSG00000278524.1	chr2	218341911	218341980	+	70
ENSG00000230580.1	chr2	218354075	218354572	+	498
ENSG00000158428.3	chr2	218356856	218368099	+	11244
ENSG00000225062.1	chr2	218366665	218367835	-	1171
ENSG00000018280.16	chr2	218382029	218396894	+	14866
ENSG00000144579.7	chr2	218398256	218405941	+	7686
ENSG00000273361.1	chr2	218398743	218399219	-	477
ENSG00000199121.4	chr2	218402646	218402722	+	77
ENSG00000127831.10	chr2	218419092	218453295	+	34204
ENSG00000135913.10	chr2	218450251	218568361	-	118111
ENSG00000222714.1	chr2	218500729	218501037	-	309
ENSG00000144580.13	chr2	218568580	218597080	+	28501
ENSG00000207393.1	chr2	218589214	218589320	-	107
ENSG00000115556.13	chr2	218607765	218637184	+	29420
ENSG00000273466.1	chr2	218633256	218634014	-	759
ENSG00000115568.15	chr2	218637916	218659655	-	21740
ENSG00000074582.13	chr2	218658764	218663443	+	4680
ENSG00000163481.7	chr2	218663864	218672411	-	8548
ENSG00000163482.11	chr2	218672026	218702716	+	30691
ENSG00000135912.10	chr2	218710845	218755416	+	44572
ENSG00000135929.8	chr2	218781749	218815293	+	33545
ENSG00000272555.1	chr2	218818690	218819144	+	455
ENSG00000115592.11	chr2	218822383	218832086	-	9704
ENSG00000283639.1	chr2	218823090	218823154	+	65
ENSG00000232625.1	chr2	218841599	218842065	+	467
ENSG00000115596.3	chr2	218859821	218874233	+	14413
ENSG00000135925.8	chr2	218880363	218899581	+	19219
ENSG00000228135.1	chr2	218900811	218930636	-	29826
ENSG00000200029.1	chr2	218916184	218916287	-	104
ENSG00000235024.1	chr2	218944629	218961903	-	17275
ENSG00000224928.2	chr2	218953401	218954050	-	650
ENSG00000171450.5	chr2	218959655	218962162	+	2508
ENSG00000236445.4	chr2	218975393	218989940	+	14548
ENSG00000163497.2	chr2	218981087	218985657	-	4571
ENSG00000163499.11	chr2	218990189	218993421	-	3233
ENSG00000198973.4	chr2	219001645	219001708	-	64
ENSG00000224090.1	chr2	219002215	219015721	+	13507
ENSG00000181378.13	chr2	219002846	219041527	-	38682
ENSG00000163501.6	chr2	219054420	219060467	-	6048
ENSG00000264755.1	chr2	219058688	219058750	-	63
ENSG00000272644.1	chr2	219069354	219069809	-	456
ENSG00000187736.12	chr2	219075317	219160865	-	85549
ENSG00000280537.2	chr2	219075329	219170827	-	95499
ENSG00000240317.3	chr2	219102434	219102719	+	286
ENSG00000213901.10	chr2	219161465	219170095	-	8631
ENSG00000115649.15	chr2	219171897	219178106	-	6210
ENSG00000144567.10	chr2	219176225	219185479	+	9255
ENSG00000158552.12	chr2	219195237	219209651	+	14415
ENSG00000115657.13	chr2	219209766	219219017	-	9252
ENSG00000284820.1	chr2	219209772	219222738	-	12967
ENSG00000198925.11	chr2	219219380	219229717	-	10338
ENSG00000163516.13	chr2	219229757	219236669	+	6913
ENSG00000163521.15	chr2	219236606	219245478	-	8873
ENSG00000115661.13	chr2	219245455	219250337	+	4883
ENSG00000127824.13	chr2	219249711	219278170	-	28460
ENSG00000243910.7	chr2	219253243	219272188	+	18946
ENSG00000135924.15	chr2	219279267	219286900	+	7634
ENSG00000054356.13	chr2	219289623	219309648	-	20026
ENSG00000207647.1	chr2	219294111	219294200	-	90
ENSG00000230432.1	chr2	219299002	219304130	+	5129
ENSG00000182698.11	chr2	219327409	219333177	-	5769
ENSG00000232789.1	chr2	219358870	219358983	-	114
ENSG00000123992.19	chr2	219373527	219400022	-	26496
ENSG00000229525.1	chr2	219388496	219403633	+	15138
ENSG00000175084.11	chr2	219418377	219426739	+	8363
ENSG00000234638.1	chr2	219425071	219426184	-	1114
ENSG00000280323.1	chr2	219427477	219429319	+	1843
ENSG00000072195.14	chr2	219434846	219498287	+	63442
ENSG00000227432.1	chr2	219482073	219516877	-	34805
ENSG00000268603.1	chr2	219497611	219498246	-	636
ENSG00000144591.18	chr2	219498867	219506989	+	8123
ENSG00000072182.12	chr2	219514170	219538772	+	24603
ENSG00000123989.13	chr2	219538947	219543787	-	4841
ENSG00000188760.10	chr2	219543663	219550595	+	6933
ENSG00000268896.1	chr2	219547211	219547658	-	448
ENSG00000265252.1	chr2	219549073	219549147	-	75
ENSG00000124006.14	chr2	219550729	219571859	-	21131
ENSG00000269068.1	chr2	219559083	219559626	+	544
ENSG00000123999.4	chr2	219569162	219575713	+	6552
ENSG00000222678.1	chr2	219590687	219590984	-	298
ENSG00000144589.21	chr2	219597860	219616451	+	18592
ENSG00000228973.1	chr2	219625059	219626693	-	1635
ENSG00000114923.16	chr2	219627327	219641980	+	14654
ENSG00000267919.1	chr2	219645090	219645631	+	542
ENSG00000231802.1	chr2	219684030	219684795	-	766
ENSG00000227308.2	chr2	219685381	219737937	+	52557
ENSG00000223903.1	chr2	219697799	219698214	+	416
ENSG00000228909.1	chr2	219904051	219904889	-	839
ENSG00000266518.1	chr2	219906502	219906565	-	64
ENSG00000225911.1	chr2	220048822	220049272	-	451
ENSG00000239498.1	chr2	220105656	220450778	+	345123
ENSG00000235337.1	chr2	220127546	220212491	+	84946
ENSG00000236451.2	chr2	220450679	220704566	+	253888
ENSG00000224819.1	chr2	220791078	220797893	+	6816
ENSG00000232089.1	chr2	221162771	221163053	+	283
ENSG00000116106.11	chr2	221418027	221574202	-	156176
ENSG00000226726.1	chr2	221532668	221533008	+	341
ENSG00000272944.1	chr2	221572506	221574454	+	1949
ENSG00000230406.2	chr2	221592441	221592861	+	421
ENSG00000234446.2	chr2	221637543	221641813	+	4271
ENSG00000233868.1	chr2	221944223	221944612	+	390
ENSG00000226666.1	chr2	221961737	221963765	+	2029
ENSG00000226331.1	chr2	222044525	222044994	-	470
ENSG00000135903.19	chr2	222199888	222298996	-	99109
ENSG00000163081.2	chr2	222298147	222305217	+	7071
ENSG00000267034.1	chr2	222317242	222318653	-	1412
ENSG00000237732.9	chr2	222318275	222352989	+	34715
ENSG00000200822.1	chr2	222404985	222405095	+	111
ENSG00000163082.9	chr2	222424517	222560948	+	136432
ENSG00000228670.4	chr2	222452400	222453126	-	727
ENSG00000202016.1	chr2	222498291	222498398	+	108
ENSG00000234285.1	chr2	222503883	222504843	-	961
ENSG00000261428.2	chr2	222566899	222569719	-	2821
ENSG00000116120.9	chr2	222570536	222656337	-	85802
ENSG00000124003.12	chr2	222671786	222709930	+	38145
ENSG00000233751.1	chr2	222677677	222678289	-	613
ENSG00000203531.3	chr2	222698623	222699484	-	862
ENSG00000235225.1	chr2	222726457	222726834	+	378
ENSG00000123983.13	chr2	222860934	222944639	+	83706
ENSG00000224121.1	chr2	222904640	222905055	-	416
ENSG00000234193.1	chr2	222917387	222919363	-	1977
ENSG00000278083.1	chr2	222945930	222946388	-	459
ENSG00000152049.6	chr2	223051814	223198399	+	146586
ENSG00000243125.3	chr2	223248498	223248794	-	297
ENSG00000233299.1	chr2	223398267	223398546	-	280
ENSG00000231189.1	chr2	223498773	223504611	+	5839
ENSG00000235610.1	chr2	223505476	223510933	+	5458
ENSG00000171951.4	chr2	223596940	223602503	-	5564
ENSG00000226539.1	chr2	223704621	223705338	+	718
ENSG00000152056.16	chr2	223751686	223838027	-	86342
ENSG00000085449.14	chr2	223855716	223945387	-	89672
ENSG00000135900.3	chr2	223957404	223967714	+	10311
ENSG00000228802.1	chr2	223965701	223967706	-	2006
ENSG00000135919.12	chr2	223975112	224039319	-	64208
ENSG00000224826.1	chr2	224169664	224171537	+	1874
ENSG00000228681.1	chr2	224294930	224295753	+	824
ENSG00000124019.9	chr2	224378698	224402085	-	23388
ENSG00000274629.1	chr2	224464682	224474500	+	9819
ENSG00000036257.12	chr2	224470150	224585397	-	115248
ENSG00000228446.2	chr2	224499387	224500100	-	714
ENSG00000283428.1	chr2	224703764	224716365	-	12602
ENSG00000135905.19	chr2	224765090	225042445	-	277356
ENSG00000263828.1	chr2	225010461	225010540	-	80
ENSG00000144460.12	chr2	225399710	225654018	+	254309
ENSG00000228206.2	chr2	225698254	225698539	+	286
ENSG00000273301.1	chr2	225698514	225703654	+	5141
ENSG00000279015.1	chr2	225761559	225762112	+	554
ENSG00000230621.1	chr2	225992981	225993197	-	217
ENSG00000235070.3	chr2	226180044	226185371	-	5328
ENSG00000263363.1	chr2	226658710	226658793	-	84
ENSG00000169047.5	chr2	226731317	226799759	-	68443
ENSG00000272622.1	chr2	226800146	226811029	+	10884
ENSG00000261379.1	chr2	226804036	226805061	+	1026
ENSG00000144468.16	chr2	226835581	226999215	+	163635
ENSG00000212391.1	chr2	226968989	226969122	-	134
ENSG00000081052.12	chr2	227002711	227164453	-	161743
ENSG00000169031.19	chr2	227164565	227314792	+	150228
ENSG00000236432.7	chr2	227221052	227325201	-	104150
ENSG00000168958.19	chr2	227325151	227357836	+	32686
ENSG00000168955.3	chr2	227362156	227381995	-	19840
ENSG00000284629.1	chr2	227387683	227387949	-	267
ENSG00000284092.1	chr2	227472132	227472187	+	56
ENSG00000173744.17	chr2	227472152	227561214	+	89063
ENSG00000284643.1	chr2	227598893	227599255	+	363
ENSG00000284622.1	chr2	227608784	227608927	+	144
ENSG00000042304.11	chr2	227610090	227648606	-	38517
ENSG00000284704.1	chr2	227614538	227614840	-	303
ENSG00000236116.1	chr2	227616998	227617790	-	793
ENSG00000284631.1	chr2	227616998	227618655	+	1658
ENSG00000284667.1	chr2	227666804	227667061	+	258
ENSG00000135917.14	chr2	227683763	227718031	-	34269
ENSG00000284725.1	chr2	227724440	227724757	-	318
ENSG00000284718.1	chr2	227728335	227728625	+	291
ENSG00000284635.1	chr2	227745845	227746681	+	837
ENSG00000252346.1	chr2	227763052	227763152	-	101
ENSG00000226718.1	chr2	227778510	227778735	-	226
ENSG00000229172.1	chr2	227801840	227804705	+	2866
ENSG00000115009.12	chr2	227805739	227817564	+	11826
ENSG00000183514.4	chr2	227870083	227870644	-	562
ENSG00000123977.9	chr2	227871054	227924344	+	53291
ENSG00000272237.1	chr2	227887631	227887744	+	114
ENSG00000153820.12	chr2	227979950	228181645	-	201696
ENSG00000200281.1	chr2	228169743	228169849	+	107
ENSG00000203387.2	chr2	228352120	228353215	-	1096
ENSG00000232023.2	chr2	228483261	228611395	-	128135
ENSG00000228226.1	chr2	228683537	228684580	-	1044
ENSG00000237322.1	chr2	228753324	228753786	+	463
ENSG00000153823.18	chr2	228850526	229271285	-	420760
ENSG00000226297.1	chr2	229003886	229004400	+	515
ENSG00000253006.1	chr2	229236340	229236609	-	270
ENSG00000187957.7	chr2	229357629	229714558	-	356930
ENSG00000238782.1	chr2	229606238	229606299	+	62
ENSG00000235993.1	chr2	229701794	229702148	+	355
ENSG00000153827.13	chr2	229763838	229923239	-	159402
ENSG00000222344.1	chr2	229894346	229894453	+	108
ENSG00000153832.11	chr2	229922302	230013109	+	90808
ENSG00000252333.1	chr2	229937814	229937882	-	69
ENSG00000231534.1	chr2	229942728	229945137	+	2410
ENSG00000206725.1	chr2	229973315	229973421	+	107
ENSG00000163053.10	chr2	230034974	230068999	-	34026
ENSG00000199400.1	chr2	230058229	230058324	-	96
ENSG00000225963.7	chr2	230121370	230174223	+	52854
ENSG00000283451.1	chr2	230138601	230138783	+	183
ENSG00000135899.17	chr2	230167293	230225729	-	58437
ENSG00000079263.18	chr2	230203110	230313215	+	110106
ENSG00000185404.16	chr2	230327184	230403732	+	76549
ENSG00000279964.1	chr2	230410700	230412529	-	1830
ENSG00000067066.16	chr2	230415942	230544090	+	128149
ENSG00000243650.3	chr2	230507101	230507386	+	286
ENSG00000250011.1	chr2	230515023	230515638	+	616
ENSG00000235419.5	chr2	230520594	230580006	-	59413
ENSG00000183022.5	chr2	230573167	230573809	-	643
ENSG00000283202.1	chr2	230584815	230586715	-	1901
ENSG00000199791.1	chr2	230587121	230587227	+	107
ENSG00000226125.1	chr2	230690921	230700529	-	9609
ENSG00000135932.10	chr2	230712845	230821075	+	108231
ENSG00000237758.1	chr2	230725143	230725403	-	261
ENSG00000201044.1	chr2	230752141	230752247	+	107
ENSG00000270891.1	chr2	230836909	230837385	+	477
ENSG00000135916.15	chr2	230864639	230879248	+	14610
ENSG00000232520.1	chr2	230886500	230897091	+	10592
ENSG00000135898.9	chr2	230907318	230961066	-	53749
ENSG00000230385.1	chr2	230908852	230910102	+	1251
ENSG00000283164.1	chr2	230924567	230929919	+	5353
ENSG00000235013.1	chr2	230957593	230957950	+	358
ENSG00000238062.5	chr2	230984368	230996032	-	11665
ENSG00000173699.16	chr2	230990324	231025055	+	34732
ENSG00000204128.5	chr2	231037490	231049719	+	12230
ENSG00000261829.1	chr2	231052040	231052637	+	598
ENSG00000173692.12	chr2	231056864	231172827	+	115964
ENSG00000135914.5	chr2	231108230	231125118	-	16889
ENSG00000201574.1	chr2	231133462	231133630	+	169
ENSG00000135931.17	chr2	231198546	231374837	+	176292
ENSG00000237039.1	chr2	231256097	231256306	+	210
ENSG00000263641.1	chr2	231362708	231362793	+	86
ENSG00000224376.1	chr2	231388976	231394991	+	6016
ENSG00000156966.6	chr2	231395543	231401164	+	5622
ENSG00000172799.5	chr2	231433923	231434426	-	504
ENSG00000230047.1	chr2	231437101	231437421	-	321
ENSG00000233538.1	chr2	231452195	231453153	+	959
ENSG00000115053.15	chr2	231453531	231483641	-	30111
ENSG00000206885.1	chr2	231455800	231455936	-	137
ENSG00000207280.1	chr2	231456444	231456523	-	80
ENSG00000202400.1	chr2	231460371	231460440	-	70
ENSG00000283312.1	chr2	231493708	231495299	-	1592
ENSG00000283491.1	chr2	231497090	231507256	-	10167
ENSG00000223198.1	chr2	231501990	231502201	-	212
ENSG00000181798.2	chr2	231508426	231514339	-	5914
ENSG00000171596.6	chr2	231523160	231530495	-	7336
ENSG00000231494.1	chr2	231559903	231560364	+	462
ENSG00000228884.2	chr2	231585864	231586327	+	464
ENSG00000177673.3	chr2	231592901	231594283	+	1383
ENSG00000239202.3	chr2	231645998	231646273	-	276
ENSG00000187514.16	chr2	231706895	231713541	+	6647
ENSG00000277986.1	chr2	231711525	231711647	+	123
ENSG00000284378.1	chr2	231713314	231713398	+	85
ENSG00000156973.13	chr2	231732425	231786272	-	53848
ENSG00000281072.1	chr2	231768604	231768680	+	77
ENSG00000144524.17	chr2	231781671	231809254	+	27584
ENSG00000237641.1	chr2	231789481	231789887	-	407
ENSG00000261096.1	chr2	231809846	231812352	+	2507
ENSG00000260622.1	chr2	231810348	231810844	-	497
ENSG00000222246.1	chr2	231892242	231892298	-	57
ENSG00000163273.3	chr2	231921820	231926403	-	4584
ENSG00000144535.19	chr2	231961245	232344350	+	383106
ENSG00000227033.1	chr2	231978488	232015720	-	37233
ENSG00000207626.1	chr2	232172653	232172747	+	95
ENSG00000251485.1	chr2	232343116	232343903	+	788
ENSG00000230122.1	chr2	232349754	232351309	-	1556
ENSG00000275157.1	chr2	232368576	232368697	+	122
ENSG00000163283.6	chr2	232378534	232382889	+	4356
ENSG00000224516.5	chr2	232379635	232381674	-	2040
ENSG00000244280.1	chr2	232385750	232387457	-	1708
ENSG00000163286.8	chr2	232406843	232410714	+	3872
ENSG00000204121.2	chr2	232415818	232419816	-	3999
ENSG00000237087.1	chr2	232420661	232421461	-	801
ENSG00000223788.4	chr2	232442034	232447418	+	5385
ENSG00000163295.4	chr2	232456123	232460032	+	3910
ENSG00000171551.11	chr2	232479827	232487828	-	8002
ENSG00000237412.6	chr2	232520463	232525716	+	5254
ENSG00000135902.9	chr2	232525993	232536667	+	10675
ENSG00000196811.11	chr2	232539727	232546403	+	6677
ENSG00000221944.6	chr2	232547968	232550592	-	2625
ENSG00000135930.13	chr2	232550052	232583644	+	33593
ENSG00000284407.1	chr2	232550474	232550573	-	100
ENSG00000237126.8	chr2	232580948	232611971	-	31024
ENSG00000115468.11	chr2	232606057	232682781	+	76725
ENSG00000244384.3	chr2	232649849	232650136	+	288
ENSG00000204120.14	chr2	232697299	232860575	+	163277
ENSG00000213055.3	chr2	232729523	232730198	-	676
ENSG00000241409.1	chr2	232760146	232767949	-	7804
ENSG00000115474.6	chr2	232766464	232776568	-	10105
ENSG00000252452.1	chr2	232782665	232782766	+	102
ENSG00000199781.1	chr2	232828653	232828751	+	99
ENSG00000182600.9	chr2	232857270	232878708	+	21439
ENSG00000066248.14	chr2	232878686	233013272	-	134587
ENSG00000222001.2	chr2	233012614	233015885	+	3272
ENSG00000115488.3	chr2	233032672	233035057	+	2386
ENSG00000168918.13	chr2	233059967	233207903	+	147937
ENSG00000263941.2	chr2	233205199	233205479	+	281
ENSG00000085978.21	chr2	233210051	233295674	+	85624
ENSG00000252010.1	chr2	233275727	233276002	+	276
ENSG00000251791.1	chr2	233288676	233288940	+	265
ENSG00000130561.16	chr2	233307816	233347055	+	39240
ENSG00000259793.1	chr2	233351132	233353416	-	2285
ENSG00000077044.10	chr2	233354507	233472104	+	117598
ENSG00000201013.1	chr2	233379843	233379955	-	113
ENSG00000085982.13	chr2	233475520	233566782	-	91263
ENSG00000271639.1	chr2	233545482	233547032	+	1551
ENSG00000228949.1	chr2	233585439	233586291	+	853
ENSG00000227846.1	chr2	233603553	233604401	+	849
ENSG00000242366.3	chr2	233617645	233773310	+	155666
ENSG00000242515.5	chr2	233636454	233773305	+	136852
ENSG00000234143.1	chr2	233647926	233649026	+	1101
ENSG00000241119.1	chr2	233671853	233773300	+	101448
ENSG00000244122.2	chr2	233681938	233773299	+	91362
ENSG00000167165.18	chr2	233691607	233773300	+	81694
ENSG00000224814.1	chr2	233693434	233708699	-	15266
ENSG00000240224.1	chr2	233712992	233773299	+	60308
ENSG00000244474.5	chr2	233718778	233773299	+	54522
ENSG00000233445.1	chr2	233721522	233722065	-	544
ENSG00000243135.6	chr2	233729108	233773299	+	44192
ENSG00000248114.1	chr2	233738952	233741957	+	3006
ENSG00000227802.1	chr2	233742750	233744015	-	1266
ENSG00000228445.1	chr2	233747214	233748079	+	866
ENSG00000248705.1	chr2	233750617	233753656	+	3040
ENSG00000178836.6	chr2	233754305	233755345	-	1041
ENSG00000241635.7	chr2	233760248	233773299	+	13052
ENSG00000185038.14	chr2	233775679	233833423	+	57745
ENSG00000123485.11	chr2	233833416	233854566	-	21151
ENSG00000224287.2	chr2	233865437	233868444	-	3008
ENSG00000279809.1	chr2	233865496	233867359	-	1864
ENSG00000144481.16	chr2	233917398	234019522	+	102125
ENSG00000237581.1	chr2	233946146	233955435	-	9290
ENSG00000072080.10	chr2	234050679	234077134	+	26456
ENSG00000279218.1	chr2	234082259	234084490	+	2232
ENSG00000226442.2	chr2	234109081	234109481	+	401
ENSG00000261298.1	chr2	234222838	234224514	+	1677
ENSG00000237784.1	chr2	234329483	234329838	+	356
ENSG00000228162.1	chr2	234438328	234462127	+	23800
ENSG00000231682.1	chr2	234444590	234454595	-	10006
ENSG00000232690.1	chr2	234455157	234455783	-	627
ENSG00000188042.7	chr2	234493041	234497053	-	4013
ENSG00000280744.1	chr2	234682668	234717764	+	35097
ENSG00000278593.1	chr2	234743542	234745606	-	2065
ENSG00000235726.5	chr2	234834315	234913384	-	79070
ENSG00000130147.15	chr2	234951973	235055714	+	103742
ENSG00000226542.1	chr2	235084822	235088586	-	3765
ENSG00000231032.1	chr2	235147016	235147500	-	485
ENSG00000235293.1	chr2	235177896	235178905	+	1010
